"No.","Time","Source","Destination","Protocol","Length","Info"
"800","0.142240028","64.66.221.143","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"4212","0.634140513","64.66.221.143","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x5c2d191c,Begin:0x22767605,Len:0x8e217080)  "
"5735","0.842883026","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"6154","0.883305167","64.66.221.143","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xdaa0811c,Begin:0xa6934c77,Len:0xb8796aa6)  "
"19431","2.865958079","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x4a757d3d,Begin:0x62ad8c0b,Len:0xb4e5e556)  "
"22633","3.281788454","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x257082dc,Begin:0x4545573f,Len:0xafac8410)  "
"29656","4.115132900","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xe37197d,Begin:0x40237631,Len:0x9c6cfb35)  "
"53144","7.646328435","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xf5d5e342,Begin:0x9f7a1682,Len:0xeca76411)  "
"58740","8.528634504","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"59142","8.595613570","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x318f4175,Begin:0x52992c88,Len:0xec79e91c)  "
"71227","10.625318564","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x44795c70,Begin:0x33db127,Len:0x14fc20ad)  "
"77110","11.502731860","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"84497","12.518641024","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"85495","12.647071295","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"87059","12.882074871","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x81c5501a,Begin:0x675a020e,Len:0x2458a22d)  "
"90719","13.399573687","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"90738","13.401645794","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"91707","13.536145355","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x4c91ec58,Begin:0x3bc015cb,Len:0x5acb7cd2)  "
"98887","14.528646728","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"105286","15.533182184","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x40b71d2f,Begin:0x6b2c6eb2,Len:0x4140098c)  "
"107633","15.942671409","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x2e7f931c,Begin:0xfa77dd17,Len:0x72b7e261)  "
"107679","15.947194217","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"118610","17.576393761","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xd23a9c39,Begin:0xfbf511d,Len:0xdcca68b6)  "
"140975","20.640655282","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x727efffd,Begin:0x2fe37a51,Len:0xefc07c8c)  "
"154997","22.690753476","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x2c8b342d,Begin:0xea03e509,Len:0x6a549957)  "
"155026","22.692248564","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"157622","23.048128230","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x180451ec,Begin:0xf2489d5c,Len:0x557f8a83)  "
"157651","23.050519385","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xd1d79351,Begin:0xf86f5753,Len:0xd6efaf74)  "
"170493","24.608022466","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x5a6d3ddb,Begin:0x7ef3fe1,Len:0x63fbd8ee)  "
"185388","26.746390417","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x40543d28,Begin:0x99304300,Len:0x44fac524)  "
"192062","27.909774513","93.143.180.252","10.120.0.102","BitTorrent","832","Piece[Malformed Packet]"
"206204","30.282293004","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x43a3b106,Begin:0xa7e62b2d,Len:0x8a1e8967)  "
"213942","31.704372625","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x3ff50ce1,Begin:0x20667f9e,Len:0x9a728979)  "
"217509","32.444251442","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x139b0efb,Begin:0x9c1159e,Len:0xe4ab904f)  "
"219031","32.730442918","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x2dcdcbb5,Begin:0x22a36ab3,Len:0x4300cf4)  "
"221524","33.235705545","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x7e2f64ea,Begin:0x8ec134f9,Len:0x8b0d4f34)  "
"240347","36.379285947","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x86c0f035,Begin:0x4693e353,Len:0x9e7e8c7f)  "
"242658","36.759866921","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"246828","37.390724863","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x83789e04,Begin:0x9ff222e2,Len:0x2ac20515)  "
"247062","37.410871945","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x5d52022c,Begin:0xb081a146,Len:0x62afaf71)  "
"247333","37.455278041","93.143.180.252","10.120.0.102","BitTorrent","799","Piece[Malformed Packet]"
"250561","37.894878079","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"278680","42.118592382","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xd779f438,Begin:0xae204bb,Len:0x39c74ec9)  "
"287648","43.383973202","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0xbc0b5c00,Begin:0xac26b6b3,Len:0x24a2b95b)  "
"300049","44.878924602","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x9eabed82,Begin:0xba670d6,Len:0x9d2cf0c7)  "
"318165","47.540463835","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x38edd6d4,Begin:0x561b35f1,Len:0xb0d6c80c)  "
"325309","48.565580264","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xbc6cacf0,Begin:0x198f71a8,Len:0x5520583b)  "
"332608","49.481350555","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"336790","49.969101845","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"342063","50.971054275","93.143.180.252","10.120.0.102","BitTorrent","1175","Cancel, Piece (Idx:0x29a0bf17,Begin:0x958dc213,Len:0x3685f9f4)  "
"346494","52.114609729","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0xc8382cfb,Begin:0x9f870a9a,Len:0xeefa2751)  "
"353712","53.500351377","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x99a6243e,Begin:0xd90ed027,Len:0x5a4c4b6e)  "
"359696","54.557031148","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"362945","55.032066515","93.143.180.252","10.120.0.102","BitTorrent","1175","Request, Piece (Idx:0x1ff7acf1,Begin:0xd6acc6f5,Len:0xe5374d44)  "
"384365","58.168648799","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"396805","60.137298387","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
"434910","65.230334717","93.143.180.252","10.120.0.102","BitTorrent","1175","Piece[Malformed Packet]"
